category,site,site_type,title,price,shipping,pickup,currency,condition,url,image_url
gundam,eBay,marketplace,Bandai Gundam Stardust Memory HGUC MS-06F Zaku II FZ HG 1/144 Model Kit USA,24.92,0.0,False,USD,New,https://www.ebay.com/itm/137620839610?_skw=gundam&hash=item200ad75cba:g:hosAAeSw-MtqiMtc,https://i.ebayimg.com/images/g/hosAAeSw-MtqiMtc/s-l225.jpg
gundam,eBay,marketplace,"#128 Master Gundam & Fuunsaiki G Gundam, Bandai Hobby 1/144 HGFC",35.0,0.0,False,USD,New,https://www.ebay.com/itm/178251688945?_skw=gundam&hash=item2980a0ebf1:g:GAsAAeSwj-dqO~Ru,https://i.ebayimg.com/images/g/GAsAAeSwj-dqO~Ru/s-l225.jpg
gundam,eBay,marketplace,"#6 Z'Gok Mobile Suit Gundam, Bandai Hobby HGUC 1/144",12.0,0.0,False,USD,New,https://www.ebay.com/itm/178251688855?_skw=gundam&hash=item2980a0eb97:g:eFEAAeSwBsFqO~It,https://i.ebayimg.com/images/g/eFEAAeSwBsFqO~It/s-l225.jpg
gundam,eBay,marketplace,Bandai Gundam Build Fighters Kampfer Amazing HG 1/144 Scale Model Kit,30.5,0.0,False,USD,New,https://www.ebay.com/itm/147504673954?_skw=gundam&hash=item2257f6b4a2:g:YhkAAeSwM6BqiMKr,https://i.ebayimg.com/images/g/YhkAAeSwM6BqiMKr/s-l225.jpg
gundam,eBay,marketplace,"BAN2001365 Bandai MG MS-06J Zaku II Ground Type (Ver. 2.0) ""Gundam""",42.3,,False,USD,New,https://www.ebay.com/itm/206501617327?_skw=gundam&hash=item3014749eaf:g:hRUAAeSw-9FqhQpc,https://i.ebayimg.com/images/g/hRUAAeSw-9FqhQpc/s-l225.jpg
gundam,eBay,marketplace,HG 1/144 TR-1 Hazel II Titans Color Assembly Model Kit,26.99,0.0,False,USD,New,https://www.ebay.com/itm/128031804985?_skw=gundam&hash=item1dcf4a4e39:g:Vl8AAeSwR-1qg4on,https://i.ebayimg.com/images/g/Vl8AAeSwR-1qg4on/s-l225.jpg
gundam,eBay,marketplace,HG 1/144 Gundam FSD w/ Prototype Long Beam Rifle Base Limited Exclusive Kit NEW ,59.99,14.99,False,USD,New,https://www.ebay.com/itm/307139676461?_skw=gundam&hash=item4782f3892d:g:MNAAAeSw5RdqiKlg,https://i.ebayimg.com/images/g/MNAAAeSw5RdqiKlg/s-l225.jpg
gundam,eBay,marketplace,"#19 Char's Z'Gok Mobile Suit Gundam, Bandai Hobby HGUC 1/144",12.0,0.0,False,USD,New,https://www.ebay.com/itm/178251688883?_skw=gundam&hash=item2980a0ebb3:g:dFMAAeSwlmBqO~Ii,https://i.ebayimg.com/images/g/dFMAAeSwlmBqO~Ii/s-l225.jpg
gundam,eBay,marketplace,Bandai Hobby Gundam 00 Gundam Exia Repair II HG 1/144 Model Kit USA Seller,22.89,0.0,False,USD,New,https://www.ebay.com/itm/147474099562?_skw=gundam&hash=item2256242d6a:g:xdcAAeSwkNxqdojS,https://i.ebayimg.com/images/g/xdcAAeSwkNxqdojS/s-l225.jpg
gundam,eBay,marketplace,Bandai Hobby MG 1/100 GUNNER ZAKU WARRIOR  LUNAMARIA HAWKE CUSTOM,75.0,0.0,False,USD,New,https://www.ebay.com/itm/287468366033?_skw=gundam&hash=item42ee7328d1:g:XIYAAeSw0ZZqWlhh,https://i.ebayimg.com/images/g/XIYAAeSw0ZZqWlhh/s-l225.jpg
gundam,eBay,marketplace,"#269 Gouf Ignited (Heine Westenfluss Custom) Mobile Suit Gundam SEED DESTINY, B",34.0,0.0,False,USD,New,https://www.ebay.com/itm/178251688941?_skw=gundam&hash=item2980a0ebed:g:AqQAAeSwiRFqO~Gn,https://i.ebayimg.com/images/g/AqQAAeSwiRFqO~Gn/s-l225.jpg
gundam,eBay,marketplace,Bandai Gundam UC Gouf Ignited (Heine Westenfluss Custom) HG 1/144 Model Kit,39.18,0.0,False,USD,New,https://www.ebay.com/itm/147504789111?_skw=gundam&hash=item2257f87677:g:cKkAAeSw0jpqiMee,https://i.ebayimg.com/images/g/cKkAAeSw0jpqiMee/s-l225.jpg
gundam,eBay,marketplace,"#7 Union Flag Graham Custom Gundam 00, Bandai Hobby HG 00",16.0,0.0,False,USD,New,https://www.ebay.com/itm/188555189087?_skw=gundam&hash=item2be6c3db5f:g:YBkAAeSwA8BqO~IZ,https://i.ebayimg.com/images/g/YBkAAeSwA8BqO~IZ/s-l225.jpg
gundam,eBay,marketplace,Bandai Gundam MG 1/100 WD-M01 Turn A Gundam Unassembled,49.99,0.0,False,USD,New,https://www.ebay.com/itm/278302733394?_skw=gundam&hash=item40cc22b452:g:fogAAeSwvEZqiJeU&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGb28qgiFj7VeHpY28yLwdSt8OHEX7%2B2S4F4%2BpY2U8wv68g0PyLqkc6fj7TpPHDzzxfXGZP1NkhivappRWiZg7LCwpUGTx2SjITTJkkbWDVz4RfpkJ%2BPEYFMW6OT0Ine94mRQimSZniQUsnTBGq1mxW7XRhYngphig4jVZh40%2Fr%2FPI--cSh0iWbCurWSvetT1hEF6dF%2BxT3uIxUbWcp72vB2IN1xwAWcq6rQWiSC5ysuTyyhY2YnjZoMkTmo7oV5qwlKQgKetEw6%2FG06A2UGIx8h,https://i.ebayimg.com/images/g/fogAAeSwvEZqiJeU/s-l225.jpg
